Bb	CP	Solvent	Electrode	Additives	Prior_score
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Ptsoh	1.49e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Formic_acid	1.78e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	CsCO3	1.59e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Triethylamine	9.5e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	NiCl2	1.34e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	CuCl2	1.32e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Pd(OAc)2	9e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Dy(OTf)3	1.95e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Nothing	1.39e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Ptsoh	1.55e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Formic_acid	1.78e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	CsCO3	1.51e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Triethylamine	1.35e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	NiCl2	1.46e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	CuCl2	1.97e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Pd(OAc)2	8e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Dy(OTf)3	1.16e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Nothing	1.14e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Ptsoh	1.7e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Formic_acid	2.01e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CsCO3	1.78e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Triethylamine	7.7e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	NiCl2	9.3e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CuCl2	2e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Pd(OAc)2	1.34e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Dy(OTf)3	1e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Nothing	1.33e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Ptsoh	1.98e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Formic_acid	1.99e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	CsCO3	1.25e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Triethylamine	1.72e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	NiCl2	8.3e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	CuCl2	1.06e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Pd(OAc)2	7.6e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Dy(OTf)3	1.76e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Nothing	1.48e-05
2-furoic_acid	Propylamine	ACN	Carbon	Ptsoh	1.65e-05
2-furoic_acid	Propylamine	ACN	Carbon	Formic_acid	1.25e-05
2-furoic_acid	Propylamine	ACN	Carbon	CsCO3	1.93e-05
2-furoic_acid	Propylamine	ACN	Carbon	Triethylamine	1.43e-05
2-furoic_acid	Propylamine	ACN	Carbon	NiCl2	8.6e-06
2-furoic_acid	Propylamine	ACN	Carbon	CuCl2	1.1e-05
2-furoic_acid	Propylamine	ACN	Carbon	Pd(OAc)2	9.2e-06
2-furoic_acid	Propylamine	ACN	Carbon	Dy(OTf)3	1.96e-05
2-furoic_acid	Propylamine	ACN	Carbon	Nothing	1.03e-05
2-furoic_acid	Propylamine	ACN	Platinum	Ptsoh	1.24e-05
2-furoic_acid	Propylamine	ACN	Platinum	Formic_acid	1.51e-05
2-furoic_acid	Propylamine	ACN	Platinum	CsCO3	1.65e-05
2-furoic_acid	Propylamine	ACN	Platinum	Triethylamine	1.28e-05
2-furoic_acid	Propylamine	ACN	Platinum	NiCl2	1.14e-05
2-furoic_acid	Propylamine	ACN	Platinum	CuCl2	1.8e-05
2-furoic_acid	Propylamine	ACN	Platinum	Pd(OAc)2	1.57e-05
2-furoic_acid	Propylamine	ACN	Platinum	Dy(OTf)3	1.27e-05
2-furoic_acid	Propylamine	ACN	Platinum	Nothing	1.35e-05
2-furoic_acid	Propylamine	DMF	Carbon	Ptsoh	1.28e-05
2-furoic_acid	Propylamine	DMF	Carbon	Formic_acid	1.31e-05
2-furoic_acid	Propylamine	DMF	Carbon	CsCO3	1.5e-05
2-furoic_acid	Propylamine	DMF	Carbon	Triethylamine	8.3e-06
2-furoic_acid	Propylamine	DMF	Carbon	NiCl2	1.46e-05
2-furoic_acid	Propylamine	DMF	Carbon	CuCl2	1.37e-05
2-furoic_acid	Propylamine	DMF	Carbon	Pd(OAc)2	1.68e-05
2-furoic_acid	Propylamine	DMF	Carbon	Dy(OTf)3	1.3e-05
2-furoic_acid	Propylamine	DMF	Carbon	Nothing	1.06e-05
2-furoic_acid	Propylamine	DMF	Platinum	Ptsoh	1.75e-05
