Bb	CP	Solvent	Electrode	Additives	Prior_score
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Ptsoh	0.0082151
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Formic_acid	7.86e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	CsCO3	0.0012164
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Triethylamine	2.95e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	NiCl2	0.000332
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	CuCl2	0.0004385
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Pd(OAc)2	0.0004237
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Dy(OTf)3	0.0021187
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Nothing	0.000712
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Ptsoh	0.0044268
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Formic_acid	7e-07
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	CsCO3	0.0009079
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Triethylamine	2.46e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	NiCl2	0.0024258
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	CuCl2	5.7e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Pd(OAc)2	0.0043059
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Dy(OTf)3	0.0041075
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	ACN	Platinum	Nothing	0.0022626
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Formic_acid	1.86e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CsCO3	0.0312466
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Triethylamine	2.35e-05
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	NiCl2	0.0003566
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CuCl2	0.0013805
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Pd(OAc)2	0.0003377
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Dy(OTf)3	0.0004562
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Nothing	0.0023653
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Ptsoh	0.0115324
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Formic_acid	1.6e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	CsCO3	0.0149823
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Triethylamine	7.3e-06
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	NiCl2	0.0282876
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	CuCl2	0.0006373
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Pd(OAc)2	0.0187841
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Dy(OTf)3	0.0143829
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Nothing	0.0012913
2-furoic_acid	Propylamine	ACN	Carbon	Ptsoh	0.6905272
2-furoic_acid	Propylamine	ACN	Carbon	Formic_acid	0.0064843
2-furoic_acid	Propylamine	ACN	Carbon	CsCO3	0.621192
2-furoic_acid	Propylamine	ACN	Carbon	Triethylamine	0.0055586
2-furoic_acid	Propylamine	ACN	Carbon	NiCl2	0.0777623
2-furoic_acid	Propylamine	ACN	Carbon	CuCl2	0.0902413
2-furoic_acid	Propylamine	ACN	Carbon	Pd(OAc)2	0.049782
2-furoic_acid	Propylamine	ACN	Carbon	Dy(OTf)3	0.0054523
2-furoic_acid	Propylamine	ACN	Carbon	Nothing	0.6069547
2-furoic_acid	Propylamine	ACN	Platinum	Ptsoh	0.5823913
2-furoic_acid	Propylamine	ACN	Platinum	Formic_acid	0.0003329
2-furoic_acid	Propylamine	ACN	Platinum	CsCO3	0.4957105
2-furoic_acid	Propylamine	ACN	Platinum	Triethylamine	0.0001072
2-furoic_acid	Propylamine	ACN	Platinum	NiCl2	0.4205023
2-furoic_acid	Propylamine	ACN	Platinum	CuCl2	0.0287318
2-furoic_acid	Propylamine	ACN	Platinum	Pd(OAc)2	0.3347301
2-furoic_acid	Propylamine	ACN	Platinum	Dy(OTf)3	0.204814
2-furoic_acid	Propylamine	ACN	Platinum	Nothing	0.2932346
2-furoic_acid	Propylamine	DMF	Carbon	Ptsoh	0.6348203
2-furoic_acid	Propylamine	DMF	Carbon	Formic_acid	0.010665
2-furoic_acid	Propylamine	DMF	Carbon	CsCO3	0.7016473
2-furoic_acid	Propylamine	DMF	Carbon	Triethylamine	0.0067467
2-furoic_acid	Propylamine	DMF	Carbon	NiCl2	0.0083017
2-furoic_acid	Propylamine	DMF	Carbon	CuCl2	0.1441249
2-furoic_acid	Propylamine	DMF	Carbon	Pd(OAc)2	0.0006289
2-furoic_acid	Propylamine	DMF	Carbon	Dy(OTf)3	0.00259
2-furoic_acid	Propylamine	DMF	Carbon	Nothing	0.4490347
2-furoic_acid	Propylamine	DMF	Platinum	Ptsoh	0.6802072
2-furoic_acid	Propylamine	DMF	Platinum	Formic_acid	0.0002037
2-furoic_acid	Propylamine	DMF	Platinum	CsCO3	0.5892547
2-furoic_acid	Propylamine	DMF	Platinum	Triethylamine	0.0008879
2-furoic_acid	Propylamine	DMF	Platinum	NiCl2	0.155798
2-furoic_acid	Propylamine	DMF	Platinum	CuCl2	0.0274704
2-furoic_acid	Propylamine	DMF	Platinum	Pd(OAc)2	0.2131116
2-furoic_acid	Propylamine	DMF	Platinum	Dy(OTf)3	0.1839283
2-furoic_acid	Propylamine	DMF	Platinum	Nothing	0.4846903
2-furoic_acid	DABCO	ACN	Carbon	Ptsoh	0.0015459
2-furoic_acid	DABCO	ACN	Carbon	Formic_acid	4.05e-05
2-furoic_acid	DABCO	ACN	Carbon	CsCO3	0.0038401
2-furoic_acid	DABCO	ACN	Carbon	Triethylamine	3.49e-05
2-furoic_acid	DABCO	ACN	Carbon	NiCl2	3.52e-05
2-furoic_acid	DABCO	ACN	Carbon	CuCl2	0.0003023
2-furoic_acid	DABCO	ACN	Carbon	Pd(OAc)2	0.001322
2-furoic_acid	DABCO	ACN	Carbon	Dy(OTf)3	0.012821
2-furoic_acid	DABCO	ACN	Carbon	Nothing	0.0006402
2-furoic_acid	DABCO	ACN	Platinum	Ptsoh	0.0034236
2-furoic_acid	DABCO	ACN	Platinum	Formic_acid	1.2e-06
2-furoic_acid	DABCO	ACN	Platinum	CsCO3	0.0032951
2-furoic_acid	DABCO	ACN	Platinum	Triethylamine	4.7e-06
2-furoic_acid	DABCO	ACN	Platinum	NiCl2	0.0069472
2-furoic_acid	DABCO	ACN	Platinum	CuCl2	1.8e-05
2-furoic_acid	DABCO	ACN	Platinum	Pd(OAc)2	0.0070733
2-furoic_acid	DABCO	ACN	Platinum	Dy(OTf)3	0.0095143
2-furoic_acid	DABCO	ACN	Platinum	Nothing	0.0004556
2-furoic_acid	DABCO	DMF	Carbon	Ptsoh	0.0069008
2-furoic_acid	DABCO	DMF	Carbon	Formic_acid	3.5e-05
2-furoic_acid	DABCO	DMF	Carbon	CsCO3	0.0053471
2-furoic_acid	DABCO	DMF	Carbon	Triethylamine	0.0001032
2-furoic_acid	DABCO	DMF	Carbon	NiCl2	0.0001008
2-furoic_acid	DABCO	DMF	Carbon	CuCl2	0.0012946
2-furoic_acid	DABCO	DMF	Carbon	Pd(OAc)2	0.0055278
2-furoic_acid	DABCO	DMF	Carbon	Dy(OTf)3	0.0004266
2-furoic_acid	DABCO	DMF	Carbon	Nothing	0.0006047
2-furoic_acid	DABCO	DMF	Platinum	Ptsoh	0.0007231
2-furoic_acid	DABCO	DMF	Platinum	Formic_acid	3.39e-05
2-furoic_acid	DABCO	DMF	Platinum	CsCO3	0.0031349
2-furoic_acid	DABCO	DMF	Platinum	Triethylamine	8e-07
2-furoic_acid	DABCO	DMF	Platinum	NiCl2	0.0066987
2-furoic_acid	DABCO	DMF	Platinum	CuCl2	1.2e-05
2-furoic_acid	DABCO	DMF	Platinum	Pd(OAc)2	0.0102792
2-furoic_acid	DABCO	DMF	Platinum	Dy(OTf)3	0.0197077
2-furoic_acid	DABCO	DMF	Platinum	Nothing	0.0001758
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Ptsoh	0.7828775
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Formic_acid	0.0027165
2-furoic_acid	Potassium_cyanide	ACN	Carbon	CsCO3	0.6735896
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Triethylamine	0.0053309
2-furoic_acid	Potassium_cyanide	ACN	Carbon	NiCl2	0.0087948
2-furoic_acid	Potassium_cyanide	ACN	Carbon	CuCl2	0.0033435
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Pd(OAc)2	0.0109929
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Dy(OTf)3	0.0398546
2-furoic_acid	Potassium_cyanide	ACN	Carbon	Nothing	0.4549475
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Ptsoh	0.6336182
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Formic_acid	0.0001095
2-furoic_acid	Potassium_cyanide	ACN	Platinum	CsCO3	0.5100549
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Triethylamine	9.22e-05
2-furoic_acid	Potassium_cyanide	ACN	Platinum	NiCl2	0.3280121
2-furoic_acid	Potassium_cyanide	ACN	Platinum	CuCl2	0.0325066
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Pd(OAc)2	0.2591516
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Dy(OTf)3	0.2259064
2-furoic_acid	Potassium_cyanide	ACN	Platinum	Nothing	0.3430755
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Ptsoh	0.654566
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Formic_acid	0.0045813
2-furoic_acid	Potassium_cyanide	DMF	Carbon	CsCO3	0.6967338
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Triethylamine	0.0043627
2-furoic_acid	Potassium_cyanide	DMF	Carbon	NiCl2	0.0062861
2-furoic_acid	Potassium_cyanide	DMF	Carbon	CuCl2	0.1123204
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Pd(OAc)2	0.001556
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Dy(OTf)3	0.0118961
2-furoic_acid	Potassium_cyanide	DMF	Carbon	Nothing	0.6260345
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Ptsoh	0.7104189
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Formic_acid	0.0033269
2-furoic_acid	Potassium_cyanide	DMF	Platinum	CsCO3	0.5904933
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Triethylamine	0.0014338
2-furoic_acid	Potassium_cyanide	DMF	Platinum	NiCl2	0.1521511
2-furoic_acid	Potassium_cyanide	DMF	Platinum	CuCl2	0.0618189
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Pd(OAc)2	0.2444182
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Dy(OTf)3	0.3611563
2-furoic_acid	Potassium_cyanide	DMF	Platinum	Nothing	0.479623
2-furoic_acid	Rawal_diene	ACN	Carbon	Ptsoh	0.712692
2-furoic_acid	Rawal_diene	ACN	Carbon	Formic_acid	0.0024338
2-furoic_acid	Rawal_diene	ACN	Carbon	CsCO3	0.5689962
2-furoic_acid	Rawal_diene	ACN	Carbon	Triethylamine	0.0023085
2-furoic_acid	Rawal_diene	ACN	Carbon	NiCl2	0.0445173
2-furoic_acid	Rawal_diene	ACN	Carbon	CuCl2	0.1219946
2-furoic_acid	Rawal_diene	ACN	Carbon	Pd(OAc)2	0.0028231
2-furoic_acid	Rawal_diene	ACN	Carbon	Dy(OTf)3	0.0467654
2-furoic_acid	Rawal_diene	ACN	Carbon	Nothing	0.5723608
2-furoic_acid	Rawal_diene	ACN	Platinum	Ptsoh	0.4939399
2-furoic_acid	Rawal_diene	ACN	Platinum	Formic_acid	0.0003496
2-furoic_acid	Rawal_diene	ACN	Platinum	CsCO3	0.4804391
2-furoic_acid	Rawal_diene	ACN	Platinum	Triethylamine	0.0005051
2-furoic_acid	Rawal_diene	ACN	Platinum	NiCl2	0.2082777
2-furoic_acid	Rawal_diene	ACN	Platinum	CuCl2	0.0523264
2-furoic_acid	Rawal_diene	ACN	Platinum	Pd(OAc)2	0.2108823
2-furoic_acid	Rawal_diene	ACN	Platinum	Dy(OTf)3	0.372224
2-furoic_acid	Rawal_diene	ACN	Platinum	Nothing	0.2054703
2-furoic_acid	Rawal_diene	DMF	Carbon	Ptsoh	0.603949
2-furoic_acid	Rawal_diene	DMF	Carbon	Formic_acid	0.0033136
2-furoic_acid	Rawal_diene	DMF	Carbon	CsCO3	0.7301475
2-furoic_acid	Rawal_diene	DMF	Carbon	Triethylamine	0.0036278
2-furoic_acid	Rawal_diene	DMF	Carbon	NiCl2	0.0117087
2-furoic_acid	Rawal_diene	DMF	Carbon	CuCl2	0.116818
2-furoic_acid	Rawal_diene	DMF	Carbon	Pd(OAc)2	0.0048324
2-furoic_acid	Rawal_diene	DMF	Carbon	Dy(OTf)3	0.0056163
2-furoic_acid	Rawal_diene	DMF	Carbon	Nothing	0.6221389
2-furoic_acid	Rawal_diene	DMF	Platinum	Ptsoh	0.6624921
2-furoic_acid	Rawal_diene	DMF	Platinum	Formic_acid	0.0011404
2-furoic_acid	Rawal_diene	DMF	Platinum	CsCO3	0.7363977
2-furoic_acid	Rawal_diene	DMF	Platinum	Triethylamine	0.0016455
2-furoic_acid	Rawal_diene	DMF	Platinum	NiCl2	0.1377267
2-furoic_acid	Rawal_diene	DMF	Platinum	CuCl2	0.0954934
2-furoic_acid	Rawal_diene	DMF	Platinum	Pd(OAc)2	0.1825288
2-furoic_acid	Rawal_diene	DMF	Platinum	Dy(OTf)3	0.256197
2-furoic_acid	Rawal_diene	DMF	Platinum	Nothing	0.5564804
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Ptsoh	0.7130561
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Formic_acid	0.0001223
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	CsCO3	0.4600729
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	Triethylamine	0.0042788
2-furoic_acid	Tetrachloroisophthalodinitrile	ACN	Carbon	NiCl2	0.0579153
