Bb	CP	Solvent	Electrode	Additives	Productive
Shikimic_acid	1,3-dimethylbarbituric_acid	ACN	Platinum	Nothing	1
Tryptophan	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Pd(OAc)2	1
Carvone	Trimethylsilyl_cyanide	DMF	Carbon	NiCl2	1
Cinnamaldehyde	DABCO	ACN	Platinum	CuCl2	0
Carotene	1-azidoadamantane	DMF	Platinum	p-Tsoh	0
HMF	Propiolic_acid 	ACN	Carbon	Triethylamine	0
Levullinic_acid	Dimethyl_fumarate	DMF	Carbon	Dy(OTf)3	1
Flavanone	4-methoxyphenyl_isocyanide	ACN	Platinum	Formic_acid	0
Quinine	rawal_diene	DMF	Carbon	p-Tsoh	1
Coniferyl_alcohol	propylamine	ACN	Platinum	Nothing	0
Methylidenebutanedioic_acid	2-pyridineacetonitrile	DMF	Carbon	CuCl2	0
Caffeine	carveol	ACN	Platinum	CsCO3	1
Ascorbic_acid	Ph-maleimide	DMF	Carbon	Pd(OAc)2	1
Geraniol	potassium_cyanide	ACN	Carbon	Dy(OTf)3	1
Ketone_derivative	tetrachloroisophthalodinitrile	DMF	Platinum	Formic_acid	0
4,6-Dimethyl-alfa-pyrone	cyclohexyl_isocyanide	ACN	Platinum	NiCl2	1
Dehydroabietic_acid	Morpholine	DMF	Carbon	Triethylamine	0
Nicotine	Diethylamine	ACN	Platinum	Triethylamine	0
2-furoic_acid	Isoprene	DMF	Carbon	Nothing	0
Carvone	DABCO	DMF	Platinum	CsCO3	0
Carotene	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	CsCO3	0
Itaconic_acid	Ph-maleimide	ACN	Platinum	NiCl2	0
Levullinic_acid	Ph-maleimide	ACN	Carbon	Pd(OAc)2	0
2-furoic_acid	Trimethylsilyl_cyanide	DMF	Carbon	CuCl2	1
Shikimic_acid	2-pyridineacetonitrile	DMF	Platinum	Ptsoh	0
Carotene	Trimethylsilyl_cyanide	DMF	Platinum	CsCO3	0
Ascorbic_acid	Trimethylsilyl_cyanide	ACN	Platinum	Ptsoh	1
Flavanone	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Nothing	0
Carvone	DABCO	ACN	Platinum	Pd(OAc)2	0
Caffeine	Rawal_diene	DMF	Platinum	Ptsoh	1
Shikimic_acid	Carveol	ACN	Carbon	Ptsoh	1
Itaconic_acid	2-pyridineacetonitrile	DMF	Carbon	Ptsoh	0
Shikimic_acid	Trimethylsilyl_cyanide	DMF	Platinum	CsCO3	1
Carotene	Trimethylsilyl_cyanide	ACN	Carbon	Ptsoh	1
Ketone_derivative	Potassium_cyanide	DMF	Platinum	Ptsoh	1
Carvone	Ph-maleimide	DMF	Carbon	Ptsoh	0
Levullinic_acid	Trimethylsilyl_cyanide	ACN	Carbon	Nothing	1
Itaconic_acid	Trimethylsilyl_cyanide	ACN	Carbon	Ptsoh	0
Ascorbic_acid	2-pyridineacetonitrile	DMF	Carbon	Ptsoh	0
Levullinic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Ptsoh	0
Nicotine	1-azidoadamantane	DMF	Platinum	Ptsoh	1
2-furoic_acid	Ph-maleimide	ACN	Carbon	CsCO3	0
Levullinic_acid	Trimethylsilyl_cyanide	ACN	Carbon	CsCO3	1
Carvone	Trimethylsilyl_cyanide	ACN	Platinum	CsCO3	1
Shikimic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Platinum	Ptsoh	0
Quinine	4-methoxyphenyl_isocyanide	DMF	Platinum	Ptsoh	0
Ketone_derivative	Trimethylsilyl_cyanide	DMF	Carbon	Nothing	1
Flavanone	Trimethylsilyl_cyanide	ACN	Carbon	Ptsoh	1
2-furoic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	Ptsoh	0
Quinine	1,3-dimethylbarbituric_acid	DMF	Platinum	Ptsoh	1
Ketone_derivative	2-hydroxy-5-nitrobenzaldehyde	ACN	Carbon	Ptsoh	0
2-furoic_acid	Trimethylsilyl_cyanide	ACN	Carbon	Nothing	0
Carvone	4-methoxyphenyl_isocyanide	DMF	Carbon	CsCO3	0
Levullinic_acid	Ph-maleimide	ACN	Platinum	Dy(OTf)3	1
Cinnamaldehyde	Tetrachloroisophthalodinitrile	DMF	Platinum	Ptsoh	0
Carotene	Trimethylsilyl_cyanide	DMF	Platinum	Ptsoh	0
Shikimic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CsCO3	1
Carvone	Isoprene	ACN	Platinum	Dy(OTf)3	0
Caffeine	Ph-maleimide	ACN	Platinum	Pd(OAc)2	0
Carvone	1-azidoadamantane	DMF	Platinum	Ptsoh	1
2-furoic_acid	Trimethylsilyl_cyanide	DMF	Platinum	CsCO3	1
Ascorbic_acid	Ph-maleimide	ACN	Platinum	Ptsoh	1
Levullinic_acid	2-hydroxy-5-nitrobenzaldehyde	DMF	Carbon	CsCO3	1
Geraniol	Ph-maleimide	ACN	Platinum	Dy(OTf)3	0
